"title","url","stars","name","reviewUrl","text"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","nanad","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2trMFZsRjNZakpwTTJGS05tVllRVlo1VUdkdVpuYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOkk0VlF3YjJpM2FKNmVYQVZ5UGduZnc%7C%7C?hl=en-US","pelayanan baguss bangett dan ramahh"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","4","Risma Fj","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GTE1XcGtNa1pGYzJkek5UVTViRVJFTldNM1VIYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOnFLMWpkMkZFc2dzNTU5bERENWM3UHc%7C%7C?hl=en-US","Bagus ruanh camar"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","Indonesia Sani (Sani)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGamJVOXFjakZGYldkTE1HdHZjMlpFU3pkV0xVRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOjFjbU9qcjFFbWdLMGtvc2ZESzdWLUE%7C%7C?hl=en-US","Layanan MRI cukup baik, terutama layanan suster Marni yang ramah dan cekatan serta penuh empati. Hanya toiletnya perlu direnovasi agar lebih baik lagi."
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","Mull Hustim","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xVVRGOUNiVkJTWldod1JEUjVRbkpQUVZwUmJVRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOm1UTF9CbVBSZWhwRDR5QnJPQVpRbUE%7C%7C?hl=en-US","MasyaAllah pelayanan dan sistem luar biasa."
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","fairuz hilmi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OMlVUUlJSbGN5UkdOMldUWnBhbXd4TlhoQmIxRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOnN2UTRRRlcyRGN2WTZpamwxNXhBb1E%7C%7C?hl=en-US","ga permasalahin no rs umumnya tapii rs gigi nya doang, punya dokter se mau maunya nolak pasien padahal di jkn udah dapat antrian, enak banget yaa jadi dokter"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","3","Irwan Dg. Lengu'","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWT01HWnZZWGd4UW5neGNWWTJaV0V0UWpWTWNXYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOlVOMGZvYXgxQngxcVY2ZWEtQjVMcWc%7C%7C?hl=en-US","Luas dan asri"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","4","sur suhriah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25NNWExUlZOSEZ2WlZsMExUSmxhVEJNZFhkNk4yYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOnM5a1RVNHFvZVl0LTJlaTBMdXd6N2c%7C%7C?hl=en-US",""
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","Sultan Nesya (Sultan)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pJelN6UnVlRWRvVVVkRmR6Z3RNMWR1TlRGelZWRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOjIzSzRueEdoUUdFdzgtM1duNTFzVVE%7C%7C?hl=en-US","Mulai dari perawat sampai dokter, pelayanan rumah sakit terbaik yang pernah saya datangi seumur hidup saya, terimah kasih dokter Imelda dan rekan rekan"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Beth Emalia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pBNVUyc3pNVk0zWlZVNFZGTjRNWEpTUjFOeVgwRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOjA5U2szMVM3ZVU4VFN4MXJSR1NyX0E%7C%7C?hl=en-US","Pelayanan obat sangat lama, percuma pake antrian diutamakan yang pakai jasa kurir‍♀️"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Irna Yanti","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xVNFVEbFpXWFZMWjB0VWJVNVBNVWc1TVdoNWIzYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOlU4UDlZWXVLZ0tUbU5PMUg5MWh5b3c%7C%7C?hl=en-US","PELAYANAN OBAT DI RS INI SUNGGUH LAMBAT, pegawainya kebanyakan cerita pasien menunggu lama dari jam 9 pagi sampai jam 3 sore ternyta obatnya sudah jadi namun tdk di berikan ke pasien"
